iter	Passed	Remaining
0	0	98
1	1	89
2	2	82
3	3	77
4	3	74
5	4	71
6	5	69
7	5	68
8	6	66
9	7	66
10	8	65
11	8	65
12	9	64
13	10	63
14	11	63
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	21	54
28	22	54
29	23	53
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	43
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
